name,place_code,url,kana
北海道,hokkaido,https://tabelog.com/hokkaido/,ほっかいどう
札幌市,hokkaido/A0101,https://tabelog.com/hokkaido/A0101/,さっぽろし
旭川・富良野・士別,hokkaido/A0104,https://tabelog.com/hokkaido/A0104/,あさひかわ・ふらの・しべつ
函館・松前・檜山,hokkaido/A0105,https://tabelog.com/hokkaido/A0105/,はこだて・まつまえ・ひやま
小樽・ニセコ・積丹,hokkaido/A0106,https://tabelog.com/hokkaido/A0106/,おたる・にせこ・しゃこたん
千歳・石狩・夕張・深川,hokkaido/A0107,https://tabelog.com/hokkaido/A0107/,ちとせ・いしかり・ゆうばり・ふかがわ
洞爺・苫小牧・室蘭・えりも,hokkaido/A0108,https://tabelog.com/hokkaido/A0108/,ほらじい・とまこまい・むろらん・えりも
稚内・留萌・音威子府,hokkaido/A0109,https://tabelog.com/hokkaido/A0109/,わっかない・るもい・おといこふ
網走・知床斜里・北見・紋別,hokkaido/A0110,https://tabelog.com/hokkaido/A0110/,あばしり・しれとこしゃり・きたみ・もんべつ
帯広・十勝,hokkaido/A0111,https://tabelog.com/hokkaido/A0111/,おびひろ・とかち
釧路・根室・阿寒・摩周・知床羅臼,hokkaido/A0112,https://tabelog.com/hokkaido/A0112/,くしろ・ねむろ・あかん・ましゅう・しれとこらうす
札幌駅周辺,hokkaido/A0101/A010101,https://tabelog.com/hokkaido/A0101/A010101/,さっぽろえきしゅうへん
大通公園周辺,hokkaido/A0101/A010102,https://tabelog.com/hokkaido/A0101/A010102/,だいとおりこうえんしゅうへん
すすきの周辺,hokkaido/A0101/A010103,https://tabelog.com/hokkaido/A0101/A010103/,すすきのしゅうへん
山鼻西線沿線,hokkaido/A0101/A010104,https://tabelog.com/hokkaido/A0101/A010104/,やまはなさいせんえんせん
円山公園・盤渓周辺,hokkaido/A0101/A010105,https://tabelog.com/hokkaido/A0101/A010105/,まるやまこうえん・ばんけいしゅうへん
札幌市北区,hokkaido/A0101/A010201,https://tabelog.com/hokkaido/A0101/A010201/,さっぽろしきたく
札幌市東区,hokkaido/A0101/A010202,https://tabelog.com/hokkaido/A0101/A010202/,さっぽろしひがしく
札幌市手稲区,hokkaido/A0101/A010203,https://tabelog.com/hokkaido/A0101/A010203/,さっぽろしていねく
札幌市西区,hokkaido/A0101/A010204,https://tabelog.com/hokkaido/A0101/A010204/,さっぽろしにしく
札幌市白石区,hokkaido/A0101/A010301,https://tabelog.com/hokkaido/A0101/A010301/,さっぽろししろいしく
札幌市厚別区,hokkaido/A0101/A010302,https://tabelog.com/hokkaido/A0101/A010302/,さっぽろしあつしべつく
札幌市豊平区,hokkaido/A0101/A010303,https://tabelog.com/hokkaido/A0101/A010303/,さっぽろしとよひらく
札幌市清田区,hokkaido/A0101/A010304,https://tabelog.com/hokkaido/A0101/A010304/,さっぽろしきよだく
札幌市南区,hokkaido/A0101/A010305,https://tabelog.com/hokkaido/A0101/A010305/,さっぽろしみなみく
旭川市,hokkaido/A0104/A010401,https://tabelog.com/hokkaido/A0104/A010401/,あさひかわし
士別・名寄周辺,hokkaido/A0104/A010402,https://tabelog.com/hokkaido/A0104/A010402/,しべつ・なよろしゅうへん
富良野・美瑛・トマム,hokkaido/A0104/A010403,https://tabelog.com/hokkaido/A0104/A010403/,ふらの・びえい・とまむ
比布・和寒,hokkaido/A0104/A010404,https://tabelog.com/hokkaido/A0104/A010404/,ひぬの・わかん
層雲峡・旭岳・天人峡周辺,hokkaido/A0104/A010405,https://tabelog.com/hokkaido/A0104/A010405/,そううんきょう・あさひだけ・てんにんきょうしゅうへん
函館市,hokkaido/A0105/A010501,https://tabelog.com/hokkaido/A0105/A010501/,はこだてし
松前・亀田周辺,hokkaido/A0105/A010502,https://tabelog.com/hokkaido/A0105/A010502/,まつまえ・かめだしゅうへん
檜山・長万部周辺,hokkaido/A0105/A010503,https://tabelog.com/hokkaido/A0105/A010503/,ひやま・おしゃまんべしゅうへん
小樽市,hokkaido/A0106/A010601,https://tabelog.com/hokkaido/A0106/A010601/,おたるし
積丹半島・余市・キロロ,hokkaido/A0106/A010602,https://tabelog.com/hokkaido/A0106/A010602/,しゃこたんはんしま・よいち・きろろ
ニセコ・ルスツ周辺,hokkaido/A0106/A010603,https://tabelog.com/hokkaido/A0106/A010603/,にせこ・るすつしゅうへん
島牧・寿都・黒松内,hokkaido/A0106/A010604,https://tabelog.com/hokkaido/A0106/A010604/,しままき・ひさしみやこ・くろまつない
千歳市,hokkaido/A0107/A010701,https://tabelog.com/hokkaido/A0107/A010701/,ちとせし
石狩・当別周辺,hokkaido/A0107/A010702,https://tabelog.com/hokkaido/A0107/A010702/,いしかり・とうべつしゅうへん
江別・恵庭・北広島,hokkaido/A0107/A010703,https://tabelog.com/hokkaido/A0107/A010703/,えべつ・えにわ・きたこうしま
